pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw,datetime
948.0,379,18.8,-0.2,275.0,9.0,8.96575228282571,-0.784401684728921,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
947.0,396,17.2,-0.8,276.0,10.0,9.945218953682733,-1.04528463267653,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
934.5,610,16.2,-1.2,285.0,18.0,17.38666487320323,-4.658742811845365,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
925.0,774,15.4,-1.6,285.0,18.0,17.38666487320323,-4.658742811845365,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
924.0,783,15.4,-1.6,285.0,18.0,17.38666487320323,-4.658742811845365,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
909.7,914,14.3,-2.1,280.0,21.0,20.68096281325637,-3.6466117310055295,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
877.1,1219,11.8,-3.4,280.0,19.0,18.711347307231954,-3.2993153756716693,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
850.0,1482,9.6,-4.4,270.0,14.0,14.0,2.5717582782094417e-15,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
814.8,1829,6.7,-5.6,255.0,9.0,8.693332436601615,2.3293714059226858,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
785.0,2134,4.0,-6.7,220.0,9.0,5.785088487178854,6.894399988070802,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
771.0,2281,2.8,-7.2,213.0,10.0,5.446390350150271,8.386705679454241,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
756.0,2438,1.2,-7.1,205.0,11.0,4.648800879147692,9.969385657403151,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
727.7,2743,-1.9,-6.9,220.0,10.0,6.4278760968653925,7.66044443118978,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
705.0,2996,-4.5,-6.7,220.0,12.0,7.713451316238471,9.192533317427737,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
700.4,3048,-4.3,-5.5,220.0,13.0,8.35623892592501,9.958577760546714,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
700.0,3052,-4.3,-5.4,250.0,13.0,12.21600407021681,4.446261863233691,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
680.0,3281,-3.7,-4.1,273.0,12.0,11.983554417054886,-0.6280314749153273,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
673.8,3353,-4.1,-4.6,280.0,12.0,11.817693036146498,-2.0837781320031596,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
648.0,3658,-5.8,-6.7,275.0,28.0,27.893451546568876,-2.4403607969344208,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
623.4,3962,-7.5,-8.8,275.0,35.0,34.8668144332111,-3.050450996168026,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
618.0,4030,-7.9,-9.3,268.0,33.0,32.97989729163016,1.151683391182525,CWVK,73033,2025-09-26,50.28,-119.27,379.0,17.18,20250926_00
